title,actual,predicted
gaunt big bird enters sixth day hunger strike proposed trump budget,Onion Article,Real Article
next hillary clinton,Onion Article,Real Article
jeb bush campaign kicks farewell tour iowa town hall meeting,Onion Article,Real Article
chief police believe even murders many,Onion Article,Real Article
obamacare recklessly providing americans access longer lifespans,Onion Article,Real Article
police race scene car alarm,Onion Article,Real Article
judge rules white girl tried black adult,Onion Article,Real Article
report iranian science teachers may enriching students,Onion Article,Real Article
overworked prosecutor thinking taking police brutality case little vacation,Onion Article,Real Article
clinton aide told leave behind weak volunteer collapsed march south carolina,Onion Article,Real Article
trump white house fourth july celebration schedule,Onion Article,Real Article
john kerry scrambles stop sequence russian oligarch taunts bank monitors,Onion Article,Real Article
cleveland indians owner admits chief wahoo longer compatible modern revenue growth expectations,Onion Article,Real Article
northern irish serbs hutus granted homeland west bank,Onion Article,Real Article
hackers access children names photos vtech breach,Onion Article,Real Article
criminal prosecuted fullest extent budget,Onion Article,Real Article
house conservatives introduce resolution impale rod rosenstein,Onion Article,Real Article
pentagon announces plan cover cost hormone treatment servicemembers doubling biological sex,Onion Article,Real Article
report trump conducted illegal business cuba,Onion Article,Real Article
steve bannon marks draft executive order likes noxious pheromone secretion,Onion Article,Real Article
ice detains tim kaine speaking spanish campaign rally,Onion Article,Real Article
dozens dead meatwave,Onion Article,Real Article
woman comes forward first allegations biggest sexual harassment scandal,Onion Article,Real Article
nasa administrator resigns leak offensive email,Onion Article,Real Article
new iowa poll finds majority democrats would vote candidate named bobby cheeseburger,Onion Article,Real Article
trump vows bring back ohio town white castle,Onion Article,Real Article
coast guard terror suspect released cell needed nonviolent drug user,Onion Article,Real Article
intelligence setback cia crisis mode isis made instagram private,Onion Article,Real Article
sighing trump sexual assault accusers announce try coming forward next week,Onion Article,Real Article
china unable recruit hackers fast enough keep vulnerabilities security systems,Onion Article,Real Article
trump dismisses concerns white house chaos pack feral dogs takes west wing room,Onion Article,Real Article
roy moore refusing withdraw alabama,Onion Article,Real Article
senate votes overturn trump emergency declaration,Onion Article,Real Article
questions black panther job stand outside burning buildings karate fire department arrives questions michael jordan,Onion Article,Real Article
state union,Onion Article,Real Article
ready serious conversation green lantern address,Onion Article,Real Article
news donald trump meeting russian lawyer know far,Onion Article,Real Article
older brother accused prisoner abuse,Onion Article,Real Article
media biased trump,Onion Article,Real Article
new law gives french workers right disconnect,Onion Article,Real Article
jake hyland kansas city mo chosen nation designated survivor case rest country wiped presidential address,Onion Article,Real Article
governor demands know star american flag iowa,Onion Article,Real Article
campaign announces clinton entered incubation period securing nomination,Onion Article,Real Article
entire southern border somehow fire minutes kushner begins tackling immigration system,Onion Article,Real Article
rule escalating profits syria conflict,Onion Article,Real Article
habitat humanity investigated working conditions laborer collapses site,Onion Article,Real Article
report san francisco shut doors rising rent,Onion Article,Real Article
pentagon holds gala celebrate years bombing iraq,Onion Article,Real Article
biden offers government post elvira mistress dark,Onion Article,Real Article
poll americans hope cataclysmic event wiping humanity big tidal wave,Onion Article,Real Article
stock market soars investors decide would fun thing make happen today,Onion Article,Real Article
bachmann muslims invented global warming destroy economy,Onion Article,Real Article
white supremacists warn idealistic trump compromise necessary achieve goals,Onion Article,Real Article
nation edge court votes whether legalize gay marriage years,Onion Article,Real Article
trump aides go crisis mode president errant remarks condemning white supremacy,Onion Article,Real Article
trump preemptively tells melania give kidney,Onion Article,Real Article
jerry jones offers pay players fines domestic violence,Onion Article,Real Article
john hickenlooper drops presidential race one assumes,Onion Article,Real Article
climate change report provides locations weapons current whereabouts oil executives,Onion Article,Real Article
carly fiorina promises fight whoever everyday americans,Onion Article,Real Article
gary cohn resigns protest trump bigoted comments towards aluminum,Onion Article,Real Article
vizio charged tracking tv viewers,Onion Article,Real Article
economy,Onion Article,Real Article
news turkish forces seized control isis caliphate adventure theme park,Onion Article,Real Article
planned parenthood opens billion abortionplex,Onion Article,Real Article
justin trudeau responds blackface criticism new triggered campaign slogan,Onion Article,Real Article
news final countdown hours left tommy lee jones turns legal sex,Onion Article,Real Article
chuck schumer american people deserve president credibly justify war iran,Onion Article,Real Article
week pictures week may,Onion Article,Real Article
officials threatening arrest citizens repair roadz,Onion Article,Real Article
sean spicer given press secretary answer media questions controversial statements,Onion Article,Real Article
obama sends publisher collection pages presidential graphic novel,Onion Article,Real Article
india continues surge towards status first world nation reelecting racist authoritarian,Onion Article,Real Article
malaysia airlines expands investigation include general scope space time,Onion Article,Real Article
health scare prompts man start overeating healthier,Onion Article,Real Article
secretary interior unveils plans new creek,Onion Article,Real Article
white house releases moving statement honoring woman called obama arab,Onion Article,Real Article
data entry prodigy already entertaining offers major temp agencies,Onion Article,Real Article
knights organization denies claims overhunting could lead extinction dragons,Onion Article,Real Article
ncaa tournament team struggle pressure playing fbi surveillance,Onion Article,Real Article
trump vows leave better afghanistan nation grandchildren fight,Onion Article,Real Article
,Onion Article,Real Article
need know zika virus,Onion Article,Real Article
mike pence,Onion Article,Real Article
paul ryan put comprehensive plan fully debase trump administration,Onion Article,Real Article
tips handling social anxieties,Onion Article,Real Article
homeland security criticized allowing known killer stay country,Onion Article,Real Article
supreme court rules gay rights extend dessert,Onion Article,Real Article
major security crisis rooster loose white house longer afraid president trump put outside oval office scare away,Onion Article,Real Article
vicious feral house republicans run loose across following resignation caretaker,Onion Article,Real Article
new education program inspires economically advantaged youth express funding arts,Onion Article,Real Article
trump tells iowa dairy farmers cows times bigger,Onion Article,Real Article
senators bend interests powerful american people,Onion Article,Real Article
sessions drops pile weapons prison yard ordering inmates reduce overcrowding,Onion Article,Real Article
trump cancels white house subscription highlights bias,Onion Article,Real Article
fcc assures nation favorite verizon websites affected net neutrality repeal,Onion Article,Real Article
jeffrey epstein offers court million child pornography collection bail,Onion Article,Real Article
donald trump takes son hunting trip national zoo,Onion Article,Real Article
election could go ways,Onion Article,Real Article
pope francis hastily condemns capital punishment vatican police announce new evidence found stabbing,Onion Article,Real Article
need know tensions,Onion Article,Real Article
danish radio station criticised killing baby rabbit air,Onion Article,Real Article
north korean defector says kim last,Onion Article,Real Article
liberal activists encourage citizens call hosts urge oppose tax plan,Onion Article,Real Article
inclusive new texas bill prevents gun sellers discriminating basis background check,Onion Article,Real Article
sharpen knife sword,Onion Article,Real Article
report minority suspects receive miranda rights unconscious,Onion Article,Real Article
michelle obama quietly reassigned department agriculture butting heads president,Onion Article,Real Article
liechtenstein successfully tests teeny tiny nuclear bomb,Onion Article,Real Article
migrants reach europe,Onion Article,Real Article
world frogs unveil plan move food chain,Onion Article,Real Article
funneling arms dissident angel group effort topple god,Onion Article,Real Article
leaked documents reveal studio executives knew gods egypt released onto public,Onion Article,Real Article
news clearing air donald trump announced fired james comey taking long uncover ties russian government,Onion Article,Real Article
sees record number films,Onion Article,Real Article
benefits open office extended ceo,Onion Article,Real Article
promise work tirelessly achieve campaign goals threatens trump terrifying address,Onion Article,Real Article
pfizer mercifully puts another batch trial patients,Onion Article,Real Article
timeline gun laws america,Onion Article,Real Article
voting machines elect one president,Onion Article,Real Article
cnn fire failing disclose war panelist actually raytheon deepstrike missile,Onion Article,Real Article
study americans strongly opposed,Onion Article,Real Article
dnc criticized overly restrictive debate rules requiring candidates least one policy position,Onion Article,Real Article
americans confused system government leader would resign making terrible decision,Onion Article,Real Article
test,Onion Article,Real Article
woman quickly reading candidates policy stances voting,Onion Article,Real Article
next relations,Onion Article,Real Article
trump skip correspondents dinner,Onion Article,Real Article
mta urges riders stop taking disabled passengers,Onion Article,Real Article
pope francis donates clothing needy refugees,Onion Article,Real Article
united airlines offering immigrants special flights circle awaiting gaps travel ban,Onion Article,Real Article
obama ruling military action congress,Onion Article,Real Article
nikki haley longer sit idly iran continues exist,Onion Article,Real Article
el chapo extradited,Onion Article,Real Article
want substantive democratic debate lie thousands americans hungry unhinged trainwreck,Onion Article,Real Article
house democrats issue condemnation ukraine making harder avoid impeaching trump,Onion Article,Real Article
jussie smollett arrives court wearing cast,Onion Article,Real Article
progress video game stars vietnam war veteran severe ptsd,Onion Article,Real Article
rnc speech elect trump enemies,Onion Article,Real Article
obama commutes sentences last day office,Onion Article,Real Article
state union address,Onion Article,Real Article
rural archbishops come droves welcome trump vatican,Onion Article,Real Article
firebrand john mccain demands immediate investigation remaining complicit,Onion Article,Real Article
kill makes whinier,Onion Article,Real Article
blowjobless rate high,Onion Article,Real Article
baltimore residents urged stay indoors social progress naturally takes course next century,Onion Article,Real Article
congressional aides withholding sex budget compromise reached,Onion Article,Real Article
american voices trump campaign bans washington post coverage,Onion Article,Real Article
cut food waste,Onion Article,Real Article
rising income inequality causing wealthy americans take second sailboat,Onion Article,Real Article
new rules nfl updated personal conduct policy,Onion Article,Real Article
jeb bush assures thugs delegates promised next week,Onion Article,Real Article
must see reform last parkland shooting florida gun store changed sign guns guns guns guns guns guns,Onion Article,Real Article
lightning bolt blasts washington monument mike pence pete buttigieg locked battle prayers national mall,Onion Article,Real Article
trump follow campaign promises,Onion Article,Real Article
toughens image umlauts,Onion Article,Real Article
gaining momentum marine le pen surging polls pledging restrict france population frenchest people earth,Onion Article,Real Article
biden forges president signature executive order make december dokken history month,Onion Article,Real Article
child visiting ellis island sees grandparents toured,Onion Article,Real Article
patriots hoping emaciated tom brady end hunger strike suspension appeal time training camp,Onion Article,Real Article
ginger extremist convicted royal death plot prince harry king,Onion Article,Real Article
alleged nazi war criminal deported back germany,Onion Article,Real Article
world cup enforce false construct borders imposed us ruling elite,Onion Article,Real Article
republicans storm national statuary hall demand allowed elijah cummings casket,Onion Article,Real Article
news part nba housing syrian refugees whichever half court played,Onion Article,Real Article
biden decide run january,Onion Article,Real Article
construction union seeks reduce incidence accidents involving babies crawling steel,Onion Article,Real Article
clickhole updating privacy policy,Onion Article,Real Article
rosetta stone offers new spanish language course pandering presidential candidates,Onion Article,Real Article
government offers million americans generous severance deal leave country,Onion Article,Real Article
buttigieg campaign appeals moderate republicans touting low approval among black voters,Onion Article,Real Article
ivanka ashamed becoming first trump run business ground,Onion Article,Real Article
experts warn repeated attempts eradicating obamacare may created super law,Onion Article,Real Article
perils climate change rising sea levels could force million americans beach bodies,Onion Article,Real Article
craigslist server contracts hpv,Onion Article,Real Article
delta pilot refuses land gun control legislation passed,Onion Article,Real Article
david lynch release hybrid next week,Onion Article,Real Article
internship poised biggest comedy,Onion Article,Real Article
shy congressman wishes lawmakers would include crimes,Onion Article,Real Article
news effort military asking enemy combatants file report suspect american soldier shooting might trans,Onion Article,Real Article
news campaign setback vice presidential debate night tim kaine final showcase puppeteering class,Onion Article,Real Article
yankees sign million front office consultant contract,Onion Article,Real Article
tour de france rowdy tattooed biker harley davidson team,Onion Article,Real Article
conspiracy theories ridiculous al qaeda,Onion Article,Real Article
conductor fatigue blamed massive model train crash,Onion Article,Real Article
prison economy spirals price pack cigarettes surpasses two handjobs,Onion Article,Real Article
alien world help syria since one refuses,Onion Article,Real Article
make days without spending dime,Onion Article,Real Article
report puerto rico situation remains dire despite months help whatsoever,Onion Article,Real Article
report nazi treasure hunters following realistic retirement plan country,Onion Article,Real Article
australian parliament gathers discuss dwindling hemsworth reserves,Onion Article,Real Article
fbi panicking learning encrypted national security communications may intercepted trump administration,Onion Article,Real Article
trump confirms violent options table venezuela,Onion Article,Real Article
americans take brief break waiting hold insurance providers celebrate obamacare ruling,Onion Article,Real Article
bolton calls forceful iranian response continuing aggression,Onion Article,Real Article
earthquake sets japan back,Onion Article,Real Article
sanders supporters viciously attack bernie sanders criticizes mistakes sanders campaign,Onion Article,Real Article
trump supporter backup scapegoats ready go case crackdown immigrants fix everything,Onion Article,Real Article
sorry bernie bros candidate foreign policy experience necessary prop dictatorship,Onion Article,Real Article
new trump proposal could strip food stamps,Onion Article,Real Article
ferguson decision reaffirms right police use deadly force feel sufficiently inclined,Onion Article,Real Article
obamas sign podcast deal spotify,Onion Article,Real Article
trump opens door air force one,Onion Article,Real Article
trump rolls back transgender protections,Onion Article,Real Article
white house reversing security clearance denials,Onion Article,Real Article
steve bannon mixes discarded climate change report saliva build final wall nest,Onion Article,Real Article
republicans plan repeal replace obamacare,Onion Article,Real Article
ten years later cheney haunted people manage kill iraq war,Onion Article,Real Article
news breakdown diplomacy leaked north korean plans show last component needs complete nuclear icbm olympic gold medal,Onion Article,Real Article
guards gun four angels escaping heaven,Onion Article,Real Article
lindsey graham gazes longingly happy rubio campaign workers window,Onion Article,Real Article
man cuts eu flag banning memes,Onion Article,Real Article
revelations trump financial documents,Onion Article,Real Article
trump complains overly complicated controls needed operate doors,Onion Article,Real Article
saudi arabia announces escalation human rights abuses curry favor,Onion Article,Real Article
unpopular police officer thinking committing racially motivated offense little support,Onion Article,Real Article
shooting gun control refuse pass access mental health care continuing gut,Onion Article,Real Article
lebron announce decision united nations,Onion Article,Real Article
rex tillerson blindsided news still worked state department,Onion Article,Real Article
bernie sanders fills factory worker unable take time vote,Onion Article,Real Article
fda approves new pasta shape,Onion Article,Real Article
new zealand prime minister baby becomes first attend general assembly,Onion Article,Real Article
news pulling heartstrings tearful republicans unanimously voted new tax bill hearing billionaire story would like money,Onion Article,Real Article
must see world edge google searches live guam skyrocketed since north korea threats attack,Onion Article,Real Article
hackers steal data websites,Onion Article,Real Article
deploy troops scotland,Onion Article,Real Article
clinton already working book casting blame failures first,Onion Article,Real Article
panicked pope reverses longstanding ban abortion,Onion Article,Real Article
world urges israelis palestinians focus mutual hatred region peoples,Onion Article,Real Article
string accidents announces closure aircraft division,Onion Article,Real Article
gaunt weathered john kerry leads prisoner uprising siberian labor camp,Onion Article,Real Article
million dead bloodiest black friday weekend record,Onion Article,Real Article
house democrats vow hold president accountable agriculture bill first letter every line spells impeach trump,Onion Article,Real Article
registered florida sex predator wins million lottery jackpot,Onion Article,Real Article
republicans vow repeal obamacare without detailed plan disposing patients disease ridden corpses,Onion Article,Real Article
software indicates missing child likely prostitute,Onion Article,Real Article
germany running beer bottles,Onion Article,Real Article
facebook blamed political misinformation,Onion Article,Real Article
aides wrestle drill trump hands tries remove obama listening device skull,Onion Article,Real Article
